#number of lines of data in this file :
200
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.078 0
0.13 0
0.182 0
0.234 0
0.286 0
0.338 0
0.39 0
0.442 9604.17
0.494 0
0.546 0
0.598 9618.2
0.65 9627.52
0.702 9639.02
0.754 9650.61
0.806 0
0.858 9659.3
0.91 9668.22
0.962 9678.22
1.014 9687.34
1.066 0
1.118 9695.84
1.17 9704.7
1.222 9712.53
1.274 9715.17
1.326 9723.55
1.378 0
1.43 9730.52
1.482 9738.89
1.534 9745.06
1.586 9753.34
1.638 0
1.69 9761.58
1.742 9769.53
1.794 9774.84
1.846 9780.78
1.898 0
1.95 9787.55
2.002 9793.56
2.054 9798.22
2.106 9804.95
2.158 9813.55
2.21 0
2.262 9821.56
2.314 9826.19
2.366 9832.45
2.418 9837.94
2.47 0
2.522 9842.67
2.574 9848.73
2.626 9853.98
2.678 9859.23
2.73 0
2.782 9864.16
2.834 9872.05
2.886 9876.77
2.938 9884.22
2.99 9888.38
3.042 0
3.094 9894.75
3.146 9900.53
3.198 9908.94
3.25 9914.3
3.302 0
3.354 9919.5
3.406 9925.45
3.458 9932.08
3.51 9940.42
3.562 0
3.614 9944.19
3.666 9952.63
3.718 9957.33
3.77 9964.7
3.822 9971.13
3.874 0
3.926 9978.98
3.978 9984.47
4.03 9991.19
4.082 9997.88
4.134 0
4.186 10002.9
4.238 10008.7
4.29 10012
4.342 10018.7
4.394 0
4.446 10023
4.498 10027.8
4.55 10034
4.602 10038.8
4.654 10045.7
4.706 0
4.758 10049.4
4.81 10055.5
4.862 10059.2
4.914 10064.9
4.966 0
5.018 10068.7
5.07 10075
5.122 10079.4
5.174 10084
5.226 0
5.278 10088.7
5.33 10093.7
5.382 10097.5
5.434 10102.2
5.486 10105.8
5.538 0
5.59 10110.8
5.642 10113.6
5.694 10118.8
5.746 10121.6
5.798 0
5.85 10126.7
5.902 10129.2
5.954 10130.1
6.006 10137
6.058 0
6.11 10137.8
6.162 10133.7
6.214 10131.7
6.266 10127.8
6.318 10123.5
6.37 0
6.422 10121.8
6.474 10116.6
6.526 10113.9
6.578 10108.8
6.63 0
6.682 10104.9
6.734 10099.7
6.786 10095.4
6.838 10090.4
6.89 0
6.942 10086.7
6.994 10082.2
7.046 10077.6
7.098 10073.5
7.15 10068.6
7.202 0
7.254 10064
7.306 10058.4
7.358 10054.6
7.41 10048.6
7.462 0
7.514 10042.6
7.566 10038
7.618 10031.8
7.67 10027.1
7.722 0
7.774 10020.8
7.826 10016.6
7.878 10009.2
7.93 10004.1
7.982 9995.89
8.034 0
8.086 9990.81
8.138 9983.36
8.19 9977.77
8.242 9969.42
8.294 0
8.346 9961.23
8.398 9953.42
8.45 9944.97
8.502 9935.86
8.554 0
8.606 9927.3
8.658 9918.41
8.71 9910.05
8.762 9901.95
8.814 9893.86
8.866 0
8.918 9885.06
8.97 9876.09
9.022 9867.86
9.074 9859.31
9.126 0
9.178 9850.69
9.23 9841.5
9.282 9832.75
9.334 9824.06
9.386 0
9.438 9814.48
9.49 9805.59
9.542 9796.16
9.594 9785.92
9.646 9776.67
9.698 0
9.75 9767.66
9.802 9758.28
9.854 9747.39
9.906 9737.39
9.958 0
10.01 9727.08
10.062 9712.02
10.114 0
10.166 0
10.218 0
10.27 0
10.322 0
10.374 0
10.426 0
