#number of lines of data in this file :
200
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.078 0
0.13 0
0.182 0
0.234 0
0.286 0
0.338 0
0.39 0
0.442 7059.56
0.494 0
0.546 0
0.598 7071
0.65 7080.44
0.702 7090
0.754 7103.06
0.806 0
0.858 7111.81
0.91 7119.5
0.962 7132
1.014 7143.19
1.066 0
1.118 7153.88
1.17 7161.69
1.222 7164.63
1.274 7176.38
1.326 7182.5
1.378 0
1.43 7187.31
1.482 7193.31
1.534 7202.25
1.586 7211.75
1.638 0
1.69 7214.81
1.742 7221.13
1.794 7227.31
1.846 7233.69
1.898 0
1.95 7241.13
2.002 7249.56
2.054 7255.94
2.106 7261.31
2.158 7272.19
2.21 0
2.262 7278.5
2.314 7284.38
2.366 7291.63
2.418 7300
2.47 0
2.522 7306.94
2.574 7313.63
2.626 7319.63
2.678 7324.63
2.73 0
2.782 7331.5
2.834 7337.31
2.886 7345.5
2.938 7353.19
2.99 7359.5
3.042 0
3.094 7364.44
3.146 7371.63
3.198 7374.5
3.25 7384.44
3.302 0
3.354 7391.75
3.406 7398.75
3.458 7406.88
3.51 7414.94
3.562 0
3.614 7423.38
3.666 7432
3.718 7439.38
3.77 7447.5
3.822 7452.25
3.874 0
3.926 7457.94
3.978 7466.63
4.03 7474.63
4.082 7477.75
4.134 0
4.186 7485
4.238 7491.75
4.29 7498.5
4.342 7503
4.394 0
4.446 7507.06
4.498 7513.69
4.55 7519.25
4.602 7524.63
4.654 7530.94
4.706 0
4.758 7536.19
4.81 7541.13
4.862 7547.56
4.914 7551.38
4.966 0
5.018 7558.44
5.07 7560.81
5.122 7566.44
5.174 7568.44
5.226 0
5.278 7575.38
5.33 7578.75
5.382 7583.56
5.434 7587.81
5.486 7592.75
5.538 0
5.59 7597.19
5.642 7601.06
5.694 7605.5
5.746 7607.25
5.798 0
5.85 7612.63
5.902 7615.81
5.954 7616.69
6.006 7623.06
6.058 0
6.11 7622.38
6.162 7620.75
6.214 7617.56
6.266 7614.5
6.318 7612.13
6.37 0
6.422 7606.81
6.474 7605.13
6.526 7599.5
6.578 7596.63
6.63 0
6.682 7591.31
6.734 7587.88
6.786 7583.06
6.838 7579.94
6.89 0
6.942 7573.25
6.994 7570.63
7.046 7563.44
7.098 7558.75
7.15 7553.38
7.202 0
7.254 7549.69
7.306 7545.13
7.358 7537.69
7.41 7532.56
7.462 0
7.514 7526.13
7.566 7520.63
7.618 7515.88
7.67 7510
7.722 0
7.774 7502.94
7.826 7499.88
7.878 7492.19
7.93 7488.69
7.982 7482.44
8.034 0
8.086 7474.94
8.138 7467.44
8.19 7462.88
8.242 7454.94
8.294 0
8.346 7446.81
8.398 7437.13
8.45 7429.44
8.502 7420.69
8.554 0
8.606 7412.56
8.658 7403.94
8.71 7395.19
8.762 7386
8.814 7377.31
8.866 0
8.918 7369.13
8.97 7361.44
9.022 7352.5
9.074 7343.88
9.126 0
9.178 7335.75
9.23 7327.44
9.282 7318.5
9.334 7310
9.386 0
9.438 7301.56
9.49 7290.44
9.542 7281.94
9.594 7271.69
9.646 7260.06
9.698 0
9.75 7249.88
9.802 7240.13
9.854 7229.81
9.906 7220.13
9.958 0
10.01 7209.5
10.062 7198.19
10.114 0
10.166 0
10.218 0
10.27 0
10.322 0
10.374 0
10.426 0
