#number of lines of data in this file :
50
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.312 0
0.52 0
0.728 0
0.936 8914.25
1.144 9270.5
1.352 9356.25
1.56 9386
1.768 9412.75
1.976 9475
2.184 9509.25
2.392 9527.25
2.6 9544.5
2.808 9579.25
3.016 9595
3.224 9607.75
3.432 9618.5
3.64 9635.5
3.848 9682.5
4.056 9693
4.264 9710.75
4.472 9730.5
4.68 9741.5
4.888 9762.5
5.096 9776.5
5.304 9795.5
5.512 9811
5.72 9819
5.928 9827
6.136 9835.75
6.344 9827.5
6.552 9819.75
6.76 9809.5
6.968 9798.75
7.176 9791.25
7.384 9780.5
7.592 9772.25
7.8 9748.25
8.008 9729
8.216 9720.5
8.424 9711.25
8.632 9653
8.84 9627.5
9.048 9599.5
9.256 9522.75
9.464 9510.25
9.672 9402
9.88 9387
10.088 8672.25
10.296 0
10.504 0
