#number of lines of data in this file :
50
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.312 0
0.52 3615
0.728 3624.75
0.936 3691.75
1.144 4327.75
1.352 4351.75
1.56 4404.75
1.768 4440
1.976 4462.5
2.184 4499.5
2.392 4532.75
2.6 4544
2.808 4558.25
3.016 4587.75
3.224 4611.75
3.432 4628
3.64 4650.25
3.848 4674
4.056 4684.5
4.264 4694.5
4.472 4706
4.68 4722.75
4.888 4734.25
5.096 4748
5.304 4758
5.512 4769.5
5.72 4781
5.928 4793.25
6.136 4804
6.344 4814
6.552 4804.25
6.76 4798
6.968 4788.5
7.176 4777.25
7.384 4762.25
7.592 4752.75
7.8 4732.5
8.008 4712.75
8.216 4638.25
8.424 4628
8.632 4609.5
8.84 4599.75
9.048 4563.25
9.256 4511
9.464 4500.5
9.672 4423.5
9.88 4207.5
10.088 3861.5
10.296 3614.75
10.504 0
