#number of lines of data in this file :
50
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.312 4351
0.52 4368.75
0.728 4383.25
0.936 4411.75
1.144 4428.25
1.352 4452.75
1.56 4462.25
1.768 4475.5
1.976 4514.5
2.184 4524.25
2.392 4534.75
2.6 4558.75
2.808 4572.5
3.016 4589.5
3.224 4603.25
3.432 4611.75
3.64 4620.25
3.848 4643
4.056 4666.25
4.264 4709.5
4.472 4733.75
4.68 4769.75
4.888 4787
5.096 4803.75
5.304 4815
5.512 4823
5.72 4830.25
5.928 4837.5
6.136 4850.25
6.344 4856.25
6.552 4846.75
6.76 4847
6.968 4838.5
7.176 4829
7.384 4818.5
7.592 4808.25
7.8 4792.25
8.008 4779.25
8.216 4766.75
8.424 4744.5
8.632 4724.75
8.84 4610.25
9.048 4579.5
9.256 4568.25
9.464 4490.75
9.672 4043.75
9.88 3823.75
10.088 0
10.296 0
10.504 0
