#Steps Energy
0 11.2
100 -318.4
200 -594.4
300 -963.2
400 -1277.6
500 -1541.6
600 -1779.2
700 -1932
800 -2131.2
900 -2296.8
1000 -2417.6
1100 -2573.6
1200 -2657.6
1300 -2784.8
1400 -2909.6
1500 -3074.4
1600 -3190.4
1700 -3297.6
1800 -3421.6
1900 -3456.8
2000 -3582.4
2100 -3641.6
2200 -3753.6
2300 -3877.6
2400 -3968
2500 -4055.2
2600 -4156
2700 -4197.6
2800 -4260
2900 -4320
3000 -4363.2
3100 -4438.4
3200 -4483.2
3300 -4601.6
3400 -4644
3500 -4690.4
3600 -4780
3700 -4870.4
3800 -4944
3900 -5005.6
4000 -5036.8
4100 -5087.2
4200 -5144
4300 -5220
4400 -5279.2
4500 -5307.2
4600 -5360.8
4700 -5423.2
4800 -5484.8
4900 -5528
5000 -5544
5100 -5583.2
5200 -5610.4
5300 -5632.8
5400 -5672.8
5500 -5703.2
5600 -5792.8
5700 -5827.2
5800 -5838.4
5900 -5873.6
6000 -5913.6
6100 -5923.2
6200 -5927.2
6300 -5983.2
6400 -5999.2
6500 -5996
6600 -6001.6
6700 -6036
6800 -6138.4
6900 -6156.8
7000 -6209.6
7100 -6223.2
7200 -6241.6
7300 -6280
7400 -6272.8
7500 -6300
7600 -6308
7700 -6336
7800 -6365.6
7900 -6376
8000 -6376
8100 -6387.2
8200 -6444.8
8300 -6472
8400 -6520
8500 -6530.4
8600 -6559.2
8700 -6556.8
8800 -6546.4
8900 -6619.2
9000 -6627.2
9100 -6667.2
9200 -6691.2
9300 -6715.2
9400 -6712
9500 -6712
9600 -6728
9700 -6744
9800 -6757.6
9900 -6760
10000 -6757.6
10100 -6787.2
10200 -6789.6
10300 -6800.8
10400 -6822.4
10500 -6839.2
10600 -6860.8
10700 -6860.8
10800 -6896
10900 -6923.2
11000 -6923.2
11100 -6920.8
11200 -6940
11300 -6964
11400 -6964.8
11500 -6976
11600 -6979.2
11700 -7044
11800 -7070.4
11900 -7084
12000 -7097.6
12100 -7095.2
12200 -7108.8
12300 -7131.2
12400 -7146.4
12500 -7139.2
12600 -7149.6
12700 -7139.2
12800 -7160.8
12900 -7158.4
13000 -7184.8
13100 -7204
13200 -7220
13300 -7233.6
13400 -7241.6
13500 -7258.4
13600 -7279.2
13700 -7288
13800 -7296
13900 -7315.2
14000 -7336.8
14100 -7334.4
14200 -7361.6
14300 -7376
14400 -7379.2
14500 -7400.8
14600 -7392.8
14700 -7400.8
14800 -7398.4
14900 -7395.2
15000 -7408.8
15100 -7422.4
15200 -7444
15300 -7463.2
15400 -7460
15500 -7465.6
15600 -7481.6
15700 -7481.6
15800 -7503.2
15900 -7494.4
16000 -7489.6
16100 -7489.6
16200 -7516.8
16300 -7508.8
16400 -7524.8
16500 -7529.6
16600 -7524.8
16700 -7538.4
16800 -7540.8
16900 -7546.4
17000 -7544
17100 -7547.2
17200 -7547.2
17300 -7545.6
17400 -7551.2
17500 -7551.2
17600 -7551.2
17700 -7559.2
17800 -7559.2
17900 -7564.8
18000 -7562.4
18100 -7562.4
18200 -7572.8
18300 -7576
18400 -7576
18500 -7606.4
18600 -7620
18700 -7614.4
18800 -7622.4
18900 -7638.4
19000 -7644
19100 -7641.6
19200 -7657.6
19300 -7663.2
19400 -7666.4
19500 -7688.8
19600 -7688.8
19700 -7688.8
19800 -7724
19900 -7732
20000 -7753.6
20100 -7764
20200 -7769.6
20300 -7775.2
20400 -7780.8
20500 -7776
20600 -7781.6
20700 -7789.6
20800 -7795.2
20900 -7803.2
21000 -7811.2
21100 -7820
21200 -7822.4
21300 -7828
21400 -7833.6
21500 -7863.2
21600 -7860.8
21700 -7861.6
21800 -7861.6
21900 -7867.2
22000 -7875.2
22100 -7897.6
22200 -7900.8
22300 -7906.4
22400 -7915.2
22500 -7920
22600 -7936
22700 -7949.6
22800 -7960.8
22900 -7958.4
23000 -7952.8
23100 -7958.4
23200 -7958.4
23300 -7953.6
23400 -7953.6
23500 -7953.6
23600 -7953.6
23700 -7951.2
23800 -7956.8
23900 -7960
24000 -7986.4
24100 -7992
24200 -8011.2
24300 -8017.6
24400 -8014.4
24500 -8038.4
24600 -8052
24700 -8076
24800 -8084
24900 -8097.6
25000 -8108
25100 -8116
25200 -8116
25300 -8116
25400 -8118.4
25500 -8126.4
25600 -8132
25700 -8124.8
25800 -8136
25900 -8141.6
26000 -8139.2
26100 -8144.8
26200 -8142.4
26300 -8150.4
26400 -8152.8
26500 -8166.4
26600 -8180
26700 -8177.6
26800 -8177.6
26900 -8172
27000 -8167.2
27100 -8168
27200 -8168
27300 -8192
27400 -8194.4
27500 -8197.6
27600 -8197.6
27700 -8203.2
27800 -8200.8
27900 -8201.6
28000 -8220.8
28100 -8226.4
28200 -8226.4
28300 -8232
28400 -8267.2
28500 -8286.4
28600 -8286.4
28700 -8284
28800 -8289.6
28900 -8289.6
29000 -8295.2
29100 -8297.6
29200 -8297.6
29300 -8297.6
29400 -8305.6
29500 -8311.2
29600 -8332.8
29700 -8332.8
29800 -8328
29900 -8328
30000 -8336
30100 -8336
30200 -8349.6
30300 -8363.2
30400 -8363.2
30500 -8363.2
30600 -8379.2
30700 -8379.2
30800 -8379.2
30900 -8384.8
31000 -8398.4
31100 -8392.8
31200 -8392.8
31300 -8392.8
31400 -8404
31500 -8404
31600 -8404
31700 -8401.6
31800 -8428.8
31900 -8423.2
32000 -8447.2
32100 -8447.2
32200 -8441.6
32300 -8441.6
32400 -8447.2
32500 -8460.8
32600 -8460.8
32700 -8460.8
32800 -8460.8
32900 -8460.8
33000 -8466.4
33100 -8466.4
33200 -8466.4
33300 -8466.4
33400 -8466.4
33500 -8472
33600 -8472
33700 -8472
33800 -8472
33900 -8472
34000 -8472
34100 -8472
34200 -8493.6
34300 -8493.6
34400 -8493.6
34500 -8493.6
34600 -8496
34700 -8496
34800 -8496
34900 -8493.6
35000 -8493.6
35100 -8493.6
35200 -8493.6
35300 -8493.6
35400 -8493.6
35500 -8493.6
35600 -8493.6
35700 -8493.6
35800 -8504.8
35900 -8504.8
36000 -8504.8
36100 -8504.8
36200 -8504.8
36300 -8504.8
36400 -8504.8
36500 -8504.8
36600 -8504.8
36700 -8504.8
36800 -8504.8
36900 -8504.8
37000 -8504.8
37100 -8504.8
37200 -8504.8
37300 -8504.8
37400 -8507.2
37500 -8507.2
37600 -8507.2
37700 -8507.2
37800 -8507.2
37900 -8507.2
38000 -8512.8
38100 -8510.4
38200 -8510.4
38300 -8504.8
38400 -8504.8
38500 -8504.8
38600 -8504.8
38700 -8504.8
38800 -8504.8
38900 -8504.8
39000 -8518.4
39100 -8518.4
39200 -8518.4
39300 -8518.4
39400 -8512.8
39500 -8512.8
39600 -8512.8
39700 -8512.8
39800 -8512.8
39900 -8512.8
40000 -8512.8
40100 -8507.2
40200 -8507.2
40300 -8512.8
40400 -8512.8
40500 -8512.8
40600 -8512.8
40700 -8512.8
40800 -8512.8
40900 -8512.8
41000 -8512.8
41100 -8518.4
41200 -8518.4
41300 -8518.4
41400 -8512.8
41500 -8512.8
41600 -8512.8
41700 -8518.4
41800 -8518.4
41900 -8518.4
42000 -8518.4
42100 -8518.4
42200 -8518.4
42300 -8518.4
42400 -8518.4
42500 -8518.4
42600 -8518.4
42700 -8518.4
42800 -8518.4
42900 -8518.4
43000 -8524
43100 -8524
43200 -8529.6
43300 -8529.6
43400 -8529.6
43500 -8529.6
43600 -8529.6
43700 -8529.6
43800 -8529.6
43900 -8529.6
44000 -8529.6
44100 -8524
44200 -8524
44300 -8524
44400 -8524
44500 -8524
44600 -8524
44700 -8524
44800 -8524
44900 -8524
45000 -8524
45100 -8524
45200 -8524
45300 -8524
45400 -8512.8
45500 -8512.8
45600 -8518.4
45700 -8518.4
45800 -8518.4
45900 -8529.6
46000 -8535.2
46100 -8535.2
46200 -8535.2
46300 -8535.2
46400 -8535.2
46500 -8529.6
46600 -8529.6
46700 -8529.6
46800 -8529.6
46900 -8529.6
47000 -8524
47100 -8524
47200 -8524
47300 -8524
47400 -8524
47500 -8524
47600 -8524
47700 -8529.6
47800 -8529.6
47900 -8529.6
48000 -8529.6
48100 -8529.6
48200 -8524
48300 -8524
48400 -8524
48500 -8529.6
48600 -8529.6
48700 -8529.6
48800 -8529.6
48900 -8529.6
49000 -8529.6
49100 -8529.6
49200 -8535.2
49300 -8535.2
49400 -8535.2
49500 -8535.2
49600 -8535.2
49700 -8535.2
49800 -8535.2
49900 -8529.6
50000 -8529.6
50100 -8529.6
50200 -8529.6
50300 -8529.6
50400 -8529.6
50500 -8529.6
50600 -8529.6
50700 -8529.6
50800 -8529.6
50900 -8529.6
51000 -8529.6
51100 -8524
51200 -8524
51300 -8524
51400 -8524
51500 -8524
51600 -8524
51700 -8524
51800 -8524
51900 -8524
52000 -8524
52100 -8524
52200 -8524
52300 -8524
52400 -8524
52500 -8518.4
52600 -8518.4
52700 -8518.4
52800 -8518.4
52900 -8512.8
53000 -8512.8
53100 -8512.8
53200 -8512.8
53300 -8512.8
53400 -8512.8
53500 -8518.4
53600 -8518.4
53700 -8518.4
53800 -8518.4
53900 -8518.4
54000 -8518.4
54100 -8518.4
54200 -8518.4
54300 -8524
54400 -8529.6
54500 -8529.6
54600 -8529.6
54700 -8529.6
54800 -8529.6
54900 -8529.6
55000 -8529.6
55100 -8529.6
55200 -8529.6
55300 -8529.6
55400 -8529.6
55500 -8529.6
55600 -8529.6
55700 -8529.6
55800 -8529.6
55900 -8529.6
56000 -8529.6
56100 -8529.6
