#E_bin_min g(E)
-1000 0
-980 0
-960 0
-940 0
-920 0
-900 0
-880 0
-860 0
-840 0
-820 0
-800 0
-780 0
-760 0
-740 0
-720 0
-700 3040.5
-680 3063.25
-660 3277.5
-640 3301.5
-620 3369.75
-600 3387.5
-580 3446.25
-560 3455
-540 3473.75
-520 3486.25
-500 3543
-480 3551
-460 3565.75
-440 3583.25
-420 3599.5
-400 3608.25
-380 3620.75
-360 3630.75
-340 3641.5
-320 3650.25
-300 3669.25
-280 3678.25
-260 3692.5
-240 3701
-220 3710.5
-200 3716.5
-180 3728
-160 3737.5
-140 3749.25
-120 3758.25
-100 3775
-80 3784.25
-60 3794.75
-40 3789.5
-20 3795
0 3790.75
20 3800.75
40 3793.5
60 3789.5
80 3772.25
100 3763.75
120 3754.75
140 3748
160 3738.75
180 3725.5
200 3715
220 3706
240 3691.5
260 3681.25
280 3669.5
300 3660.25
320 3634.25
340 3619
360 3609.5
380 3598
400 3582
420 3567
440 3537.25
460 3520.5
480 3505
500 3362.75
520 0
540 0
560 0
580 0
600 0
620 0
640 0
660 0
680 0
700 0
720 0
740 0
760 0
780 0
800 0
820 0
840 0
860 0
880 0
900 0
920 0
940 0
960 0
980 0
